price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,nbr_bedrooms,equipped_kitchen,terrace_sqm,garden_sqm,state_building,primary_energy_consumption_sqm,heating_type,other_amenities
225000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2171725,4.3799821,1963.0,100.0,2.0,INSTALLED,5.0,0.0,MISSING,231.0,GAS,1
501000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2275,51.2383125,4.8171921,2024.0,187.0,3.0,MISSING,0.0,0.0,MISSING,99.0,MISSING,1
3500000.0,HOUSE,VILLA,Flanders,West Flanders,Brugge,8300,51.3533226,3.2963532,1935.0,277.0,6.0,MISSING,0.0,0.0,TO_RENOVATE,394.0,MISSING,0
347000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2820,51.0240727,4.5424491,2011.0,102.0,2.0,INSTALLED,,0.0,MISSING,113.0,GAS,1
110000.0,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6010,50.3934192,4.4691796,1918.0,150.0,2.0,INSTALLED,,0.0,TO_RENOVATE,386.0,FUELOIL,1
920000.0,HOUSE,VILLA,Flanders,West Flanders,Veurne,8670,51.1234059,2.6720993,1946.0,,4.0,INSTALLED,40.0,0.0,GOOD,139.0,GAS,2
1495000.0,HOUSE,EXCEPTIONAL_PROPERTY,Brussels-Capital,Brussels,Brussels,1083,50.8680822,4.321352,1922.0,583.0,5.0,MISSING,,0.0,GOOD,498.0,GAS,1
549000.0,HOUSE,VILLA,Flanders,East Flanders,Dendermonde,9240,51.065914,3.9873207,2001.0,185.0,4.0,HYPER_EQUIPPED,0.0,0.0,AS_NEW,142.0,GAS,1
175000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1160,50.822456,4.4069171,1968.0,38.0,0.0,INSTALLED,0.0,0.0,GOOD,265.0,MISSING,1
130000.0,APARTMENT,GROUND_FLOOR,Flanders,Limburg,Hasselt,3550,51.0418133,5.3006514,1982.0,49.0,1.0,MISSING,0.0,0.0,GOOD,221.0,GAS,2
165000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4430,50.6568111,5.5209982,1918.0,109.0,3.0,MISSING,0.0,0.0,MISSING,295.0,FUELOIL,0
300000.0,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9660,50.8028023,3.7696364,1938.0,204.0,4.0,INSTALLED,0.0,0.0,MISSING,286.0,GAS,1
265000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2225441,4.4797397,1978.0,102.0,2.0,INSTALLED,10.0,0.0,JUST_RENOVATED,119.0,GAS,1
159000.0,HOUSE,HOUSE,Wallonia,Liège,Liège,4000,50.6425959,5.5334123,1981.0,100.0,2.0,INSTALLED,18.0,0.0,TO_BE_DONE_UP,353.0,PELLET,1
349000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8570,50.8188585,3.429683,2023.0,124.0,3.0,MISSING,26.0,0.0,GOOD,99.0,MISSING,1
174400.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.315817,3.1400226,1970.0,87.0,2.0,MISSING,0.0,0.0,TO_BE_DONE_UP,560.0,MISSING,0
235000.0,APARTMENT,DUPLEX,Brussels-Capital,Brussels,Brussels,1020,50.8937882,4.3652405,1960.0,95.0,2.0,MISSING,0.0,0.0,GOOD,558.0,MISSING,1
415000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3071,50.9089208,4.577938,1990.0,213.0,5.0,SEMI_EQUIPPED,,,TO_BE_DONE_UP,411.0,ELECTRIC,2
160000.0,APARTMENT,FLAT_STUDIO,Brussels-Capital,Brussels,Brussels,1210,50.8494105,4.3758664,1968.0,30.0,0.0,MISSING,0.0,0.0,GOOD,294.0,GAS,2
293319.0,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1480,50.6860556,4.2075045,2024.0,,2.0,USA_INSTALLED,11.0,0.0,MISSING,63.0,MISSING,1
